id,gateway_id,driver_id,ext_cam,int_cam,acceleration,incident_loc,tags
1,199,98,http://dummyimage.com/213x100.png/dddddd/000000,http://dummyimage.com/139x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","51.3309754, 19.3744004",Harsh Turn
2,975,384,http://dummyimage.com/159x100.png/5fa2dd/ffffff,http://dummyimage.com/242x100.png/dddddd/000000,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","-8.675462, 115.2576575",Harsh Turn
3,750,298,http://dummyimage.com/179x100.png/ff4444/ffffff,http://dummyimage.com/188x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","7.882761, -76.624692",Distracted Driving
4,687,638,http://dummyimage.com/136x100.png/5fa2dd/ffffff,http://dummyimage.com/120x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","50.7819156, 15.231474",Harsh Accel
5,395,276,http://dummyimage.com/140x100.png/cc0000/ffffff,http://dummyimage.com/104x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","-6.2424962, 106.11399",Speeding
6,632,192,http://dummyimage.com/204x100.png/ff4444/ffffff,http://dummyimage.com/184x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","-7.4435, 107.2553",Speeding
7,160,734,http://dummyimage.com/233x100.png/5fa2dd/ffffff,http://dummyimage.com/219x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","29.204461, 116.512037",Distracted Driving
8,859,571,http://dummyimage.com/129x100.png/ff4444/ffffff,http://dummyimage.com/105x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","6.6101493, 0.4785495",Crash
9,477,579,http://dummyimage.com/204x100.png/dddddd/000000,http://dummyimage.com/211x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","53.8145, -1.56285",Speeding
10,198,558,http://dummyimage.com/246x100.png/ff4444/ffffff,http://dummyimage.com/131x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","37.870792, 114.406305",Harsh Turn
11,130,105,http://dummyimage.com/164x100.png/5fa2dd/ffffff,http://dummyimage.com/230x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","8.0478831, -2.807864",Crash
12,239,717,http://dummyimage.com/146x100.png/5fa2dd/ffffff,http://dummyimage.com/241x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","-13.9705607, -71.8326771",Harsh Accel
13,429,967,http://dummyimage.com/204x100.png/dddddd/000000,http://dummyimage.com/171x100.png/cc0000/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","59.3730045, 17.0201379",Harsh Turn
14,704,382,http://dummyimage.com/121x100.png/dddddd/000000,http://dummyimage.com/147x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","30.132798, 120.892195",Crash
15,264,693,http://dummyimage.com/217x100.png/dddddd/000000,http://dummyimage.com/242x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","16.3793702, 102.3692982",Distracted Driving
16,83,791,http://dummyimage.com/166x100.png/dddddd/000000,http://dummyimage.com/111x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","37.8904348, -25.8207556",Distracted Driving
17,770,986,http://dummyimage.com/103x100.png/ff4444/ffffff,http://dummyimage.com/243x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","54.2907459, 47.3722118",Speeding
18,795,22,http://dummyimage.com/237x100.png/dddddd/000000,http://dummyimage.com/248x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","6.0867332, 171.7339319",Harsh Brake
19,338,1000,http://dummyimage.com/153x100.png/dddddd/000000,http://dummyimage.com/250x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","46.34515, -72.5477",Harsh Turn
20,707,911,http://dummyimage.com/187x100.png/dddddd/000000,http://dummyimage.com/222x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","12.0111402, -83.7703693",Speeding
21,308,695,http://dummyimage.com/157x100.png/cc0000/ffffff,http://dummyimage.com/196x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","40.7273859, 20.8344302",Harsh Accel
22,605,718,http://dummyimage.com/156x100.png/5fa2dd/ffffff,http://dummyimage.com/173x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","9.8411782, 123.9121342",Distracted Driving
23,370,395,http://dummyimage.com/111x100.png/cc0000/ffffff,http://dummyimage.com/137x100.png/5fa2dd/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","42.2390986, -8.6848147",Harsh Accel
24,425,548,http://dummyimage.com/138x100.png/ff4444/ffffff,http://dummyimage.com/218x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","59.9388564, 30.3598522",Distracted Driving
25,55,888,http://dummyimage.com/177x100.png/dddddd/000000,http://dummyimage.com/143x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","-11.2555478, -74.6394331",Harsh Turn
26,718,20,http://dummyimage.com/129x100.png/dddddd/000000,http://dummyimage.com/151x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","13.1789151, 123.7396635",Crash
27,945,118,http://dummyimage.com/198x100.png/dddddd/000000,http://dummyimage.com/241x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","22.270978, 113.576677",Harsh Turn
28,165,857,http://dummyimage.com/100x100.png/cc0000/ffffff,http://dummyimage.com/202x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","30.2771132, 72.9979303",Speeding
29,439,907,http://dummyimage.com/234x100.png/dddddd/000000,http://dummyimage.com/111x100.png/ff4444/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","-2.5394654, 112.9586863",Crash
30,884,553,http://dummyimage.com/126x100.png/cc0000/ffffff,http://dummyimage.com/247x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","22.781631, 108.273158",Harsh Accel
31,29,646,http://dummyimage.com/104x100.png/dddddd/000000,http://dummyimage.com/189x100.png/dddddd/000000,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","-28.7137096, -49.3091437",Speeding
32,975,456,http://dummyimage.com/215x100.png/ff4444/ffffff,http://dummyimage.com/211x100.png/cc0000/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","54.256793, -1.90546",Speeding
33,446,790,http://dummyimage.com/153x100.png/ff4444/ffffff,http://dummyimage.com/165x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","45.129308, -76.1423766",Distracted Driving
34,83,162,http://dummyimage.com/156x100.png/5fa2dd/ffffff,http://dummyimage.com/153x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","49.9749295, 82.6017244",Harsh Accel
35,735,960,http://dummyimage.com/193x100.png/cc0000/ffffff,http://dummyimage.com/170x100.png/5fa2dd/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","55.6790868, 12.571637",Harsh Brake
36,361,891,http://dummyimage.com/172x100.png/cc0000/ffffff,http://dummyimage.com/101x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","-18.6517964, -48.1904503",Harsh Accel
